Airport,Year,OpenHour,CloseHour,Capacity
BIAR,2020,0,24,999
BIAR,2021,0,24,999
BIAR,2022,0,24,999
BIAR,2023,0,24,999
BIAR,2024,0,24,999
BIAR,2025,0,24,999
BIBA,2018,0,24,999
BIBA,2019,0,24,999
BIBA,2020,0,24,999
BIBA,2021,0,24,999
BIBA,2022,0,24,999
BIBA,2023,0,24,999
BIBA,2024,0,24,999
BIBA,2025,0,24,999
BIBD,2018,0,24,999
BIBD,2019,0,24,999
BIBD,2020,0,24,999
BIBD,2021,0,24,999
BIBD,2022,0,24,999
BIBD,2023,0,24,999
BIBD,2024,0,24,999
BIBD,2025,0,24,999
BIBF,2018,0,24,999
BIBF,2019,0,24,999
BIBF,2020,0,24,999
BIBF,2021,0,24,999
BIBF,2022,0,24,999
BIBF,2023,0,24,999
BIBF,2024,0,24,999
BIBF,2025,0,24,999
BIBL,2018,0,24,999
BIBL,2019,0,24,999
BIBL,2020,0,24,999
BIBL,2021,0,24,999
BIBL,2022,0,24,999
BIBL,2023,0,24,999
BIBL,2024,0,24,999
BIBL,2025,0,24,999
BIBR,2018,0,24,999
BIBR,2019,0,24,999
BIBR,2020,0,24,999
BIBR,2021,0,24,999
BIBR,2022,0,24,999
BIBR,2023,0,24,999
BIBR,2024,0,24,999
BIBR,2025,0,24,999
BIBV,2018,0,24,999
BIBV,2019,0,24,999
BIBV,2020,0,24,999
BIBV,2021,0,24,999
BIBV,2022,0,24,999
BIBV,2023,0,24,999
BIBV,2024,0,24,999
BIBV,2025,0,24,999
BIDA,2018,0,24,999
BIDA,2019,0,24,999
BIDA,2020,0,24,999
BIDA,2021,0,24,999
BIDA,2022,0,24,999
BIDA,2023,0,24,999
BIDA,2024,0,24,999
BIDA,2025,0,24,999
BIDV,2018,0,24,999
BIDV,2019,0,24,999
BIDV,2020,0,24,999
BIDV,2021,0,24,999
BIDV,2022,0,24,999
BIDV,2023,0,24,999
BIDV,2024,0,24,999
BIDV,2025,0,24,999
BIEG,2018,0,24,999
BIEG,2019,0,24,999
BIEG,2020,0,24,999
BIEG,2021,0,24,999
BIEG,2022,0,24,999
BIEG,2023,0,24,999
BIEG,2024,0,24,999
BIEG,2025,0,24,999
BIEH,2018,0,24,999
BIEH,2019,0,24,999
BIEH,2020,0,24,999
BIEH,2021,0,24,999
BIEH,2022,0,24,999
BIEH,2023,0,24,999
BIEH,2024,0,24,999
BIEH,2025,0,24,999
BIFL,2018,0,24,999
BIFL,2019,0,24,999
BIFL,2020,0,24,999
BIFL,2021,0,24,999
BIFL,2022,0,24,999
BIFL,2023,0,24,999
BIFL,2024,0,24,999
BIFL,2025,0,24,999
BIFM,2018,0,24,999
BIFM,2019,0,24,999
BIFM,2020,0,24,999
BIFM,2021,0,24,999
BIFM,2022,0,24,999
BIFM,2023,0,24,999
BIFM,2024,0,24,999
BIFM,2025,0,24,999
BIGH,2018,0,24,999
BIGH,2019,0,24,999
BIGH,2020,0,24,999
BIGH,2021,0,24,999
BIGH,2022,0,24,999
BIGH,2023,0,24,999
BIGH,2024,0,24,999
BIGH,2025,0,24,999
BIGJ,2018,0,24,999
BIGJ,2019,0,24,999
BIGJ,2020,0,24,999
BIGJ,2021,0,24,999
BIGJ,2022,0,24,999
BIGJ,2023,0,24,999
BIGJ,2024,0,24,999
BIGJ,2025,0,24,999
BIGR,2018,0,24,999
BIGR,2019,0,24,999
BIGR,2020,0,24,999
BIGR,2021,0,24,999
BIGR,2022,0,24,999
