RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth
LFMDA12,5,2019-08-12T14:00:00.000Z,2019-08-12T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA10,3,2019-08-10T06:00:00.000Z,2019-08-10T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA10,5,2019-08-10T08:00:00.000Z,2019-08-10T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA11,3,2019-08-11T06:00:00.000Z,2019-08-11T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA11,3,2019-08-11T17:00:00.000Z,2019-08-11T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA11,4,2019-08-11T10:00:00.000Z,2019-08-11T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA10,5,2019-08-10T14:00:00.000Z,2019-08-10T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA11,5,2019-08-11T08:00:00.000Z,2019-08-11T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA11,5,2019-08-11T14:00:00.000Z,2019-08-11T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA10,3,2019-08-10T17:00:00.000Z,2019-08-10T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA10,4,2019-08-10T10:00:00.000Z,2019-08-10T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA09,3,2019-08-09T06:00:00.000Z,2019-08-09T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA08,5,2019-08-08T08:00:00.000Z,2019-08-08T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA08,5,2019-08-08T14:00:00.000Z,2019-08-08T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA09,4,2019-08-09T10:00:00.000Z,2019-08-09T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA08,3,2019-08-08T17:00:00.000Z,2019-08-08T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA08,4,2019-08-08T10:00:00.000Z,2019-08-08T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA09,3,2019-08-09T17:00:00.000Z,2019-08-09T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA08,3,2019-08-08T06:00:00.000Z,2019-08-08T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA09,5,2019-08-09T14:00:00.000Z,2019-08-09T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA09,5,2019-08-09T08:00:00.000Z,2019-08-09T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA06,5,2019-08-06T08:00:00.000Z,2019-08-06T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA07,4,2019-08-07T10:00:00.000Z,2019-08-07T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA07,3,2019-08-07T17:00:00.000Z,2019-08-07T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA07,5,2019-08-07T08:00:00.000Z,2019-08-07T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA06,3,2019-08-06T17:00:00.000Z,2019-08-06T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA06,4,2019-08-06T10:00:00.000Z,2019-08-06T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA06,5,2019-08-06T14:00:00.000Z,2019-08-06T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA07,5,2019-08-07T14:00:00.000Z,2019-08-07T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA07,3,2019-08-07T06:00:00.000Z,2019-08-07T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA06,3,2019-08-06T06:00:00.000Z,2019-08-06T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA03,3,2019-08-03T06:00:00.000Z,2019-08-03T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA03,4,2019-08-03T10:00:00.000Z,2019-08-03T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA05,4,2019-08-05T10:00:00.000Z,2019-08-05T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA04,4,2019-08-04T10:00:00.000Z,2019-08-04T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA04,3,2019-08-04T06:00:00.000Z,2019-08-04T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA03,5,2019-08-03T14:00:00.000Z,2019-08-03T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA05,5,2019-08-05T08:00:00.000Z,2019-08-05T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA05,3,2019-08-05T17:00:00.000Z,2019-08-05T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA03,5,2019-08-03T08:00:00.000Z,2019-08-03T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA05,5,2019-08-05T14:00:00.000Z,2019-08-05T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA03,3,2019-08-03T17:00:00.000Z,2019-08-03T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA04,5,2019-08-04T08:00:00.000Z,2019-08-04T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA04,3,2019-08-04T17:00:00.000Z,2019-08-04T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA05,3,2019-08-05T06:00:00.000Z,2019-08-05T08:00:00.000Z,LFMD,AD,A,20,20
