airline,num flights,initial costs,final costs,reduction %,run,model
B,15,11488.44,2219.2,80.68,17,nnbound
C,9,5748.329999999999,1790.5900000000001,68.85,17,nnbound
E,3,182.29999999999998,177.89000000000001,2.42,17,nnbound
D,6,2209.98,948.94,57.06,17,nnbound
F,1,179.4,53.65,70.09,17,nnbound
total,50,37116.399999999994,7763.08,79.08,17,udpp
A,16,17307.95,2326.0899999999997,86.56,17,udpp
B,15,11488.44,2795.82,75.66,17,udpp
C,9,5748.329999999999,1637.35,71.52,17,udpp
E,3,182.29999999999998,176.76999999999998,3.03,17,udpp
D,6,2209.98,647.65,70.69,17,udpp
F,1,179.4,179.4,0.0,17,udpp
total,50,7763.079999999999,7394.740000000001,80.08,17,istop
A,16,2326.09,2312.21,86.64,17,istop
B,15,2795.82,2573.18,77.6,17,istop
C,9,1637.35,1545.06,73.12,17,istop
E,3,176.76999999999998,164.51,9.76,17,istop
D,6,647.6500000000001,620.3800000000001,71.93,17,istop
F,1,179.4,179.4,0.0,17,istop
total,50,29793.319999999992,5273.949999999997,82.3,18,mincost
D,6,1145.12,598.5799999999999,47.73,18,mincost
B,13,3839.83,1994.27,48.06,18,mincost
C,9,2245.74,477.91,78.72,18,mincost
A,18,18555.079999999994,2031.5300000000004,89.05,18,mincost
E,3,2780.59,158.91000000000003,94.29,18,mincost
F,1,1226.96,12.75,98.96,18,mincost
total,50,29793.319999999992,5273.949999999997,82.3,18,nnbound
D,6,1145.12,598.5799999999999,47.73,18,nnbound
B,13,3839.83,1994.27,48.06,18,nnbound
C,9,2245.74,477.91,78.72,18,nnbound
A,18,18555.079999999994,2031.5300000000004,89.05,18,nnbound
E,3,2780.59,158.91000000000003,94.29,18,nnbound
F,1,1226.96,12.75,98.96,18,nnbound
total,50,29793.319999999992,8291.320000000002,72.17,18,udpp
D,6,1145.12,878.6700000000001,23.27,18,udpp
B,13,3839.83,724.89,81.12,18,udpp
C,9,2245.74,1764.8000000000002,21.42,18,udpp
A,18,18555.079999999994,2770.8700000000003,85.07,18,udpp
E,3,2780.59,925.1300000000001,66.73,18,udpp
F,1,1226.96,1226.96,0.0,18,udpp
total,50,8291.320000000002,7727.950000000001,74.06,18,istop
D,6,878.6700000000001,804.91,29.71,18,istop
B,13,724.8900000000001,712.6500000000001,81.44,18,istop
A,18,2770.87,2717.4399999999996,85.35,18,istop
C,9,1764.8000000000002,1355.9599999999998,39.62,18,istop
E,3,925.1300000000001,910.03,67.27,18,istop
F,1,1226.96,1226.96,0.0,18,istop
total,50,63048.530000000006,7041.440000000001,88.83,19,mincost
